"","bear1","bear2","LLR","rel_type","pair_id","bear1_birthyear","bear2_birthyear","age_diff","bear1_sex","bear2_sex","bear1_county","bear2_county","county_difference","module","age_prior","LLR_bin"
"1","BB21_1_MTU18Oct23_R1","BB22_670_MTU19Oct23_R1",-0.29,"PO_M","BB21_1_MTU18Oct23_R1_BB22_670_MTU19Oct23_R1",2020,2011,9,"Male","Female","Houghton","Houghton","same county","full ped","yes ap","negative"
"2","BB21_1010_MTU20Oct23_R1","BB22_597_MTU19Oct23_R1",2.13,"PO_M","BB21_1010_MTU20Oct23_R1_BB22_597_MTU19Oct23_R1",2020,2015,5,"Male","Female","Gogebic","Gogebic","same county","full ped","yes ap",">0"
"3","BB21_1041_MTU20Oct23_R1","BB22_1068_MTU19Oct23_R1",1.05,"PO_M","BB21_1041_MTU20Oct23_R1_BB22_1068_MTU19Oct23_R1",2019,2011,8,"Female","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"4","BB21_1052_MTU20Oct23_R1","BB22_107_FullMerged_R1",1.08,"PO_M","BB21_1052_MTU20Oct23_R1_BB22_107_FullMerged_R1",2021,2010,11,"Female","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"5","BB21_106_MTU18Oct23_R1","BB22_757_MTU19Oct23_R1",1.8,"PO_M","BB21_106_MTU18Oct23_R1_BB22_757_MTU19Oct23_R1",2019,2013,6,"Male","Female","Chippewa","Luce","neighboring county","full ped","yes ap",">0"
"6","BB21_118_MTU18Oct23_R1","BB22_580_MTU19Oct23_R1",1.85,"PO_M","BB21_118_MTU18Oct23_R1_BB22_580_MTU19Oct23_R1",2019,2014,5,"Male","Female","Chippewa","Alger","further","full ped","yes ap",">0"
"7","BB21_1291_MTU20Oct23_R1","BB21_835_MTU20Oct23_R1",0.12,"PO_M","BB21_1291_MTU20Oct23_R1_BB21_835_MTU20Oct23_R1",2020,2013,7,"Male","Female","Chippewa","Chippewa","same county","full ped","yes ap",">0"
"8","BB21_1307_MTU20Oct23_R1","BB22_792_MTU19Oct23_R1",1.67,"PO_M","BB21_1307_MTU20Oct23_R1_BB22_792_MTU19Oct23_R1",2015,2011,4,"Female","Female","Luce","Luce","same county","full ped","yes ap",">0"
"9","BB21_1392_MTU20Oct23_R1","BB22_54_FullMerged_R1",0.23,"PO_M","BB21_1392_MTU20Oct23_R1_BB22_54_FullMerged_R1",2018,2010,8,"Male","Female","Houghton","Houghton","same county","full ped","yes ap",">0"
"10","BB21_178_MTU18Oct23_R1","BB21_479_MTU20Oct23_R1",-1.23,"PO_M","BB21_178_MTU18Oct23_R1_BB21_479_MTU20Oct23_R1",2019,2001,18,"Female","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap","negative"
"11","BB21_191_MTU18Oct23_R1","BB21_479_MTU20Oct23_R1",-1.98,"PO_M","BB21_191_MTU18Oct23_R1_BB21_479_MTU20Oct23_R1",2019,2001,18,"Male","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap","negative"
"12","BB21_220_MTU18Oct23_R1","BB22_1294_MTU18Oct23_R1",1.4,"PO_M","BB21_220_MTU18Oct23_R1_BB22_1294_MTU18Oct23_R1",2018,2014,4,"Male","Female","Dickinson","Iron","neighboring county","full ped","yes ap",">0"
"13","BB21_301_MTU18Oct23_R1","BB21_1282_MTU20Oct23_R1",2.45,"PO_M","BB21_301_MTU18Oct23_R1_BB21_1282_MTU20Oct23_R1",2017,2012,5,"Female","Female","Mackinac","Mackinac","same county","full ped","yes ap",">0"
"14","BB21_310_MTU18Oct23_R1","BB21_1297_MTU20Oct23_R1",2.26,"PO_M","BB21_310_MTU18Oct23_R1_BB21_1297_MTU20Oct23_R1",2019,2016,3,"Male","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"15","BB21_323_MTU18Oct23_R1","BB22_1306_MTU18Oct23_R1",1.29,"PO_M","BB21_323_MTU18Oct23_R1_BB22_1306_MTU18Oct23_R1",2019,2011,8,"Male","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"16","BB21_347_MTU18Oct23_R1","BB22_660_MTU19Oct23_R1",1.21,"PO_M","BB21_347_MTU18Oct23_R1_BB22_660_MTU19Oct23_R1",2020,2006,14,"Male","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"17","BB21_506_MTU20Oct23_R1","BB22_8_FullMerged_R1",1.47,"PO_M","BB21_506_MTU20Oct23_R1_BB22_8_FullMerged_R1",2017,2013,4,"Male","Female","Alger","Marquette","neighboring county","full ped","yes ap",">0"
"18","BB21_507_MTU20Oct23_R1","BB21_912_MTU20Oct23_R1",-1.98,"PO_M","BB21_507_MTU20Oct23_R1_BB21_912_MTU20Oct23_R1",2020,2011,9,"Male","Female","Alger","Alger","same county","full ped","yes ap","negative"
"19","BB21_530_MTU20Oct23_R1","BB21_448_MTU18Oct23_R1",1.66,"PO_M","BB21_530_MTU20Oct23_R1_BB21_448_MTU18Oct23_R1",2019,2009,10,"Male","Female","Baraga","Marquette","neighboring county","full ped","yes ap",">0"
"20","BB21_538_MTU20Oct23_R1","BB21_853_MTU20Oct23_R1",1.03,"PO_M","BB21_538_MTU20Oct23_R1_BB21_853_MTU20Oct23_R1",2020,2007,13,"Male","Female","Iron","Iron","same county","full ped","yes ap",">0"
"21","BB21_542_MTU20Oct23_R1","BB21_448_MTU18Oct23_R1",-0.98,"PO_M","BB21_542_MTU20Oct23_R1_BB21_448_MTU18Oct23_R1",2019,2009,10,"Female","Female","Marquette","Marquette","same county","full ped","yes ap","negative"
"22","BB21_567_MTU20Oct23_R1","BB21_885_MTU20Oct23_R1",-0.75,"PO_M","BB21_567_MTU20Oct23_R1_BB21_885_MTU20Oct23_R1",2020,2015,5,"Female","Female","Gogebic","Gogebic","same county","full ped","yes ap","negative"
"23","BB21_69_MTU18Oct23_R1","BB21_914_MTU20Oct23_R1",2.17,"PO_M","BB21_69_MTU18Oct23_R1_BB21_914_MTU20Oct23_R1",2020,2016,4,"Male","Female","Mackinac","Mackinac","same county","full ped","yes ap",">0"
"24","BB21_691_MTU20Oct23_R1","BB21_266_MTU18Oct23_R1",2.05,"PO_M","BB21_691_MTU20Oct23_R1_BB21_266_MTU18Oct23_R1",2019,2007,12,"Female","Female","Iron","Marquette","neighboring county","full ped","yes ap",">0"
"25","BB21_736_MTU20Oct23_R1","BB22_107_FullMerged_R1",-1.53,"PO_M","BB21_736_MTU20Oct23_R1_BB22_107_FullMerged_R1",2019,2010,9,"Female","Female","Ontonagon","Ontonagon","same county","full ped","yes ap","negative"
"26","BB21_758_MTU20Oct23_R1","BB22_107_FullMerged_R1",0.6,"PO_M","BB21_758_MTU20Oct23_R1_BB22_107_FullMerged_R1",2019,2010,9,"Male","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"27","BB21_763_MTU20Oct23_R1","BB21_790_MTU20Oct23_R1",2.19,"PO_M","BB21_763_MTU20Oct23_R1_BB21_790_MTU20Oct23_R1",2020,2013,7,"Male","Female","Ontonagon","Ontonagon","same county","full ped","yes ap",">0"
"28","BB21_780_MTU20Oct23_R1","BB22_660_MTU19Oct23_R1",1.4,"PO_M","BB21_780_MTU20Oct23_R1_BB22_660_MTU19Oct23_R1",2020,2006,14,"Male","Female","Houghton","Ontonagon","neighboring county","full ped","yes ap",">0"
"29","BB21_804_MTU20Oct23_R1","BB21_354_MTU18Oct23_R1",0.72,"PO_M","BB21_804_MTU20Oct23_R1_BB21_354_MTU18Oct23_R1",2019,2010,9,"Male","Female","Houghton","Houghton","same county","full ped","yes ap",">0"
"30","BB21_838_MTU20Oct23_R1","BB21_1282_MTU20Oct23_R1",1.54,"PO_M","BB21_838_MTU20Oct23_R1_BB21_1282_MTU20Oct23_R1",2020,2012,8,"Female","Female","Mackinac","Mackinac","same county","full ped","yes ap",">0"
"31","BB21_899_MTU20Oct23_R1","BB22_908_MTU19Oct23_R1",5.09,"PO_M","BB21_899_MTU20Oct23_R1_BB22_908_MTU19Oct23_R1",2019,2015,4,"Female","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap",">0"
"32","BB21_947_MTU20Oct23_R1","BB21_835_MTU20Oct23_R1",1.36,"PO_M","BB21_947_MTU20Oct23_R1_BB21_835_MTU20Oct23_R1",2020,2013,7,"Female","Female","Chippewa","Chippewa","same county","full ped","yes ap",">0"
"33","BB21_996_MTU20Oct23_R1","BB22_1076_MTU19Oct23_R1",1.07,"PO_M","BB21_996_MTU20Oct23_R1_BB22_1076_MTU19Oct23_R1",2020,2011,9,"Male","Female","Baraga","Ontonagon","further","full ped","yes ap",">0"
"34","BB22_1015_MTU19Oct23_R1","BB22_1374_MTU18Oct23_R1",-2.83,"PO_M","BB22_1015_MTU19Oct23_R1_BB22_1374_MTU18Oct23_R1",2021,2013,8,"Female","Female","Gogebic","Gogebic","same county","full ped","yes ap","negative"
"35","BB22_1083_MTU18Oct23_R1","BB22_1162_MTU18Oct23_R1",0.83,"PO_M","BB22_1083_MTU18Oct23_R1_BB22_1162_MTU18Oct23_R1",2021,2017,4,"Female","Female","Gogebic","Gogebic","same county","full ped","yes ap",">0"
"36","BB22_1089_MTU18Oct23_R1","BB21_1139_MTU20Oct23_R1",1.91,"PO_M","BB22_1089_MTU18Oct23_R1_BB21_1139_MTU20Oct23_R1",2020,2016,4,"Female","Female","Baraga","Baraga","same county","full ped","yes ap",">0"
"37","BB22_1112_MTU18Oct23_R1","BB22_117_FullMerged_R1",-1.23,"PO_M","BB22_1112_MTU18Oct23_R1_BB22_117_FullMerged_R1",2019,2008,11,"Male","Female","Ontonagon","Ontonagon","same county","full ped","yes ap","negative"
"38","BB22_114_FullMerged_R1","BB22_597_MTU19Oct23_R1",2.54,"PO_M","BB22_114_FullMerged_R1_BB22_597_MTU19Oct23_R1",2020,2015,5,"Male","Female","Ontonagon","Gogebic","neighboring county","full ped","yes ap",">0"
"39","BB22_129_FullMerged_R1","BB22_56_FullMerged_R1",0.76,"PO_M","BB22_129_FullMerged_R1_BB22_56_FullMerged_R1",2019,2014,5,"Male","Female","Baraga","Houghton","neighboring county","full ped","yes ap",">0"
"40","BB22_1398_MTU18Oct23_R1","BB21_1002_MTU20Oct23_R1",1.23,"PO_M","BB22_1398_MTU18Oct23_R1_BB21_1002_MTU20Oct23_R1",2021,2016,5,"Female","Female","Alger","Alger","same county","full ped","yes ap",">0"
"41","BB22_1495_MTU18Oct23_R1","BB22_580_MTU19Oct23_R1",-2.02,"PO_M","BB22_1495_MTU18Oct23_R1_BB22_580_MTU19Oct23_R1",2021,2014,7,"Male","Female","Alger","Alger","same county","full ped","yes ap","negative"
"42","BB22_15_FullMerged_R1","BB21_681_MTU20Oct23_R1",2.59,"PO_M","BB22_15_FullMerged_R1_BB21_681_MTU20Oct23_R1",2017,2012,5,"Female","Female","Marquette","Marquette","same county","full ped","yes ap",">0"
"43","BB22_1593_MTU18Oct23_R1","BB22_1594_MTU18Oct23_R1",0.84,"PO_M","BB22_1593_MTU18Oct23_R1_BB22_1594_MTU18Oct23_R1",2021,2018,3,"Male","Female","Alger","Schoolcraft","neighboring county","full ped","yes ap",">0"
"44","BB22_1636_MTU18Oct23_R1","BB21_1200_MTU20Oct23_R1",1.17,"PO_M","BB22_1636_MTU18Oct23_R1_BB21_1200_MTU20Oct23_R1",2020,2012,8,"Female","Female","Schoolcraft","Delta","neighboring county","full ped","yes ap",">0"
"45","BB22_1647_MTU18Oct23_R1","BB22_881_MTU19Oct23_R1",0.95,"PO_M","BB22_1647_MTU18Oct23_R1_BB22_881_MTU19Oct23_R1",2021,2015,6,"Male","Female","Chippewa","Chippewa","same county","full ped","yes ap",">0"
"46","BB22_188_FullMerged_R1","BB22_1532_MTU18Oct23_R1",0.83,"PO_M","BB22_188_FullMerged_R1_BB22_1532_MTU18Oct23_R1",2021,2017,4,"Female","Female","Marquette","Marquette","same county","full ped","yes ap",">0"
"47","BB22_192_FullMerged_R1","BB21_453_MTU18Oct23_R1",1.47,"PO_M","BB22_192_FullMerged_R1_BB21_453_MTU18Oct23_R1",2019,2007,12,"Female","Female","Marquette","Marquette","same county","full ped","yes ap",">0"
"48","BB22_210_FullMerged_R1","BB22_1282_MTU18Oct23_R1",1.54,"PO_M","BB22_210_FullMerged_R1_BB22_1282_MTU18Oct23_R1",2020,2003,17,"Male","Female","Baraga","Dickinson","further","full ped","yes ap",">0"
"49","BB22_212_FullMerged_R1","BB21_266_MTU18Oct23_R1",1.29,"PO_M","BB22_212_FullMerged_R1_BB21_266_MTU18Oct23_R1",2021,2007,14,"Female","Female","Dickinson","Marquette","neighboring county","full ped","yes ap",">0"
"50","BB22_438_MTU19Oct23_R1","BB21_912_MTU20Oct23_R1",-1.94,"PO_M","BB22_438_MTU19Oct23_R1_BB21_912_MTU20Oct23_R1",2017,2011,6,"Male","Female","Iron","Alger","further","full ped","yes ap","negative"
"51","BB22_444_MTU19Oct23_R1","BB21_240_MTU18Oct23_R1",1.36,"PO_M","BB22_444_MTU19Oct23_R1_BB21_240_MTU18Oct23_R1",2016,2010,6,"Female","Female","Iron","Delta","further","full ped","yes ap",">0"
"52","BB22_445_MTU19Oct23_R1","BB22_600_MTU19Oct23_R1",2.42,"PO_M","BB22_445_MTU19Oct23_R1_BB22_600_MTU19Oct23_R1",2020,2017,3,"Female","Female","Iron","Delta","further","full ped","yes ap",">0"
"53","BB22_61_FullMerged_R1","BB22_1004_MTU19Oct23_R1",2.08,"PO_M","BB22_61_FullMerged_R1_BB22_1004_MTU19Oct23_R1",2020,2012,8,"Female","Female","Ontonagon","Gogebic","neighboring county","full ped","yes ap",">0"
"54","BB22_676_MTU19Oct23_R1","BB21_771_MTU20Oct23_R1",-1.85,"PO_M","BB22_676_MTU19Oct23_R1_BB21_771_MTU20Oct23_R1",2020,2015,5,"Female","Female","Houghton","Houghton","same county","full ped","yes ap","negative"
"55","BB22_691_MTU19Oct23_R1","BB21_354_MTU18Oct23_R1",0.74,"PO_M","BB22_691_MTU19Oct23_R1_BB21_354_MTU18Oct23_R1",2021,2010,11,"Male","Female","Houghton","Houghton","same county","full ped","yes ap",">0"
"56","BB22_711_MTU19Oct23_R1","BB21_365_MTU18Oct23_R1",1.42,"PO_M","BB22_711_MTU19Oct23_R1_BB21_365_MTU18Oct23_R1",2020,2012,8,"Male","Female","Houghton","Ontonagon","neighboring county","full ped","yes ap",">0"
"57","BB22_729_MTU19Oct23_R1","BB21_563_MTU20Oct23_R1",2.98,"PO_M","BB22_729_MTU19Oct23_R1_BB21_563_MTU20Oct23_R1",2020,2017,3,"Male","Female","Schoolcraft","Alger","neighboring county","full ped","yes ap",">0"
"58","BB22_737_MTU19Oct23_R1","BB22_1615_MTU18Oct23_R1",1.77,"PO_M","BB22_737_MTU19Oct23_R1_BB22_1615_MTU18Oct23_R1",2018,2014,4,"Male","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap",">0"
"59","BB22_743_MTU19Oct23_R1","BB22_718_MTU19Oct23_R1",1.73,"PO_M","BB22_743_MTU19Oct23_R1_BB22_718_MTU19Oct23_R1",2019,2009,10,"Male","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap",">0"
"60","BB22_760_MTU19Oct23_R1","BB21_167_MTU18Oct23_R1",1.68,"PO_M","BB22_760_MTU19Oct23_R1_BB21_167_MTU18Oct23_R1",2020,2007,13,"Male","Female","Luce","Alger","neighboring county","full ped","yes ap",">0"
"61","BB22_78_FullMerged_R1","BB22_670_MTU19Oct23_R1",-1.7,"PO_M","BB22_78_FullMerged_R1_BB22_670_MTU19Oct23_R1",2020,2011,9,"Female","Female","Houghton","Houghton","same county","full ped","yes ap","negative"
"62","BB22_84_FullMerged_R1","BB21_814_MTU20Oct23_R1",2.17,"PO_M","BB22_84_FullMerged_R1_BB21_814_MTU20Oct23_R1",2020,2017,3,"Female","Female","Houghton","Ontonagon","neighboring county","full ped","yes ap",">0"
"63","BB22_877_MTU19Oct23_R1","BB21_479_MTU20Oct23_R1",1.55,"PO_M","BB22_877_MTU19Oct23_R1_BB21_479_MTU20Oct23_R1",2021,2001,20,"Male","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap",">0"
"64","BB22_881_MTU19Oct23_R1","BB22_1643_MTU18Oct23_R1",0.82,"PO_M","BB22_881_MTU19Oct23_R1_BB22_1643_MTU18Oct23_R1",2015,2006,9,"Female","Female","Chippewa","Mackinac","neighboring county","full ped","yes ap",">0"
"65","BB22_895_MTU19Oct23_R1","BB22_747_MTU19Oct23_R1",0.22,"PO_M","BB22_895_MTU19Oct23_R1_BB22_747_MTU19Oct23_R1",2021,2009,12,"Male","Female","Mackinac","Schoolcraft","neighboring county","full ped","yes ap",">0"
"66","BB22_912_MTU19Oct23_R1","BB22_747_MTU19Oct23_R1",0.59,"PO_M","BB22_912_MTU19Oct23_R1_BB22_747_MTU19Oct23_R1",2021,2009,12,"Female","Female","Schoolcraft","Schoolcraft","same county","full ped","yes ap",">0"
"67","BB22_940_MTU19Oct23_R1","BB22_117_FullMerged_R1",-1.66,"PO_M","BB22_940_MTU19Oct23_R1_BB22_117_FullMerged_R1",2019,2008,11,"Female","Female","Ontonagon","Ontonagon","same county","full ped","yes ap","negative"
"68","BB22_984_MTU19Oct23_R1","BB21_342_MTU18Oct23_R1",1.28,"PO_M","BB22_984_MTU19Oct23_R1_BB21_342_MTU18Oct23_R1",2020,2010,10,"Female","Female","Gogebic","Gogebic","same county","full ped","yes ap",">0"
